Issue Type,Issue key,Issue id,Summary,Status,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Description,Custom field (Parent Link)
Requirement,DMFDREQ-760,81136,COM Vehicle Data Unavailable,In Requirement Review,,,DMFDREQ-2146,,,,,MFD-1564,,,,,"The COM Vehicle State Panel shall display a red X for the following parameters when data is unavailable or invalid: RI Bottle, LO Bottle, ALT, RATE, Delta P, SAT, Delta ISA.

!image-2021-07-29-08-37-48-008.png!",
Requirement,DMFDREQ-756,81132,COM Left Brake Data Unavailable,In Requirement Review,,,,,,,,MFD-1559,,,,,"The COM Vehicle State Panel shall display a red X when the Left Brake pressure or temperature is unavailable or invalid.

!image-2021-07-29-08-39-22-653.png!",
Requirement,DMFDREQ-979,81355,COM Left Brake Pressure,In Requirement Review,,,,,,,,MFD-256,APRD-1630,,,,The Vehicle Info Panel shall display the Left Brake Pressure in psi as an unsigned integer with up to 4 characters.,
Requirement,DMFDREQ-981,81357,COM Right Brake Pressure,In Requirement Review,,,,,,,,MFD-257,APRD-1630,,,,The Vehicle Info Panel shall display the Right Brake Pressure in psi as an unsigned integer with up to 4 characters.,
Requirement,DMFDREQ-969,81345,COM Left Outboard Bottle Percent,In Requirement Review,,,,,,,,MFD-248,,,,,"The COM Vehicle State Panel shall display the Left Outboard Air (LO) Bottle remaining in percent as with up to 4 characters per Calculation from DMFDREQ-1770.

!image-2021-06-30-09-02-51-222.png!",
Requirement,DMFDREQ-970,81346,COM Cabin Altitude,In Requirement Review,,,,,,,,MFD-249,,,,,"The COM Vehicle State Panel shall display the Cabin Altitude (ALT) in ft as a signed integer with up to 6 characters rounded to the nearest 100 feet with commas as thousands separator.

 

 
||Primary ECS Valid||Displayed Altitude||
|True|PRIMARY_ECS_ALTITUDE|
|False|EMERGENCY_ECS_ALTITUDE|

 

 

 

!image-2021-06-30-09-03-48-806.png!",
Requirement,DMFDREQ-767,81143,COM Left Brake Temp Color,In Requirement Review,,,,,,,,MFD-1572,,,,,"The COM Vehicle State Panel shall display the Left Brake temperature in the following colors:

 
||Text Color||Condition||
|Green|No CAS in alarm (""BRAKE L TEMP HI"")|
|Yellow|""BRAKE L TEMP HI"" Caution message annunciated|
|Red|""BRAKE L TEMP HI"" Warning message annunciated|

  !image-2021-08-05-11-05-14-161.png!!image-2021-08-05-11-09-11-064.png!!image-2021-08-05-11-09-28-811.png!",
Requirement,DMFDREQ-977,81353,COM Left Brake Temp,In Requirement Review,,,,,,,,MFD-254,APRD-1630,,,,The Vehicle Info Panel shall display the Left Brake Temp in degC as a signed integer with up to 3 characters.,
Requirement,DMFDREQ-768,81144,COM Right Brake Temp Color,In Requirement Review,,,,,,,,MFD-1575,,,,,"The COM Vehicle State Panel shall display the Right Brake temperature in the following colors:

 
||Text Color||Condition||
|Green|No CAS in alarm (""BRAKE R TEMP HI"")|
|Yellow|""BRAKE R TEMP HI"" Caution message annunciated|
|Red|""BRAKE R TEMP HI"" Warning message annunciated|

  !image-2021-08-05-11-03-38-240.png!!image-2021-08-05-11-09-06-442.png!!image-2021-08-05-11-09-35-051.png!",
Requirement,DMFDREQ-978,81354,COM Right Brake Temp,In Requirement Review,,,,,,,,MFD-255,APRD-1630,,,,The Vehicle Info Panel shall display the Right Brake Temp in degC as a signed integer with up to 3 characters.,
